//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           5      13      20    1       1      1        63
8           5      13      20    1       1      1        63
9           5      13      20    1       1      1        63
10          5      13      20    1       1      1        63
11          5      13      20    1       1      1        63
7           0      13      20    1       1      1        63
8           0      13      20    1       1      1        63
9           0      13      20    1       1      1        63
10          0      13      20    1       1      1        63
11          0      13      20    1       1      1        63
7           6      13      20    1       1      1        63
8           6      13      20    1       1      1        63
9           6      13      20    1       1      1        63
10          6      13      20    1       1      1        63
11          6      13      20    1       1      1        63
7           8      13      20    1       1      1        63
8           8      13      20    1       1      1        63
9           8      13      20    1       1      1        63
10          8      13      20    1       1      1        63
11          8      13      20    1       1      1        63
7           9      13      20    1       1      1        63
8           9      13      20    1       1      1        63
9           9      13      20    1       1      1        63
10          9      13      20    1       1      1        63
11          9      13      20    1       1      1        63
end

