07:27:42 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
07:27:44 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
07:28:46 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
07:29:06 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
07:29:31 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
07:29:47 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
07:30:04 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
07:30:28 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
07:30:34 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
07:30:43 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
07:53:21 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
07:53:23 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
07:53:57 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
07:54:20 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
07:54:37 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
07:54:42 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:04:39 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:04:50 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:05:18 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:07:12 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:07:46 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:07:49 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:08:55 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:08:56 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:09:02 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:09:12 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:09:30 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:09:47 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:09:58 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:14:52 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:15:09 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:15:16 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:15:40 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:15:42 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:15:50 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:16:14 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:16:30 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:16:39 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:16:45 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:18:09 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:18:19 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:18:37 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:19:37 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:19:38 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:20:07 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:20:15 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:22:20 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:22:47 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:23:06 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:23:14 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:24:33 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:24:34 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:24:56 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:25:11 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:25:33 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:26:37 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:26:40 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:26:49 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:26:52 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:27:12 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:28:13 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:28:15 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:28:42 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:29:03 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:29:43 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:29:52 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:30:39 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:30:43 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:31:35 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:31:38 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:31:52 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:32:00 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:32:47 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:32:56 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
08:35:36 [AccountInfo] Account disconnected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
08:35:37 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
09:27:49 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
09:29:03 [AccountInfo] Account connected (Account: mago, IpAddress: 192.168.1.15, GameServerCode: 1)
09:29:10 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
09:29:56 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
