08:47:54 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
08:48:07 [AccountInfo] Account connected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
08:50:19 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
08:50:21 [AccountInfo] Account disconnected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
23:13:11 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
23:13:23 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
23:13:26 [AccountInfo] Account connected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
23:13:38 [AccountInfo] Account disconnected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
23:14:00 [AccountInfo] Account connected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
23:14:55 [AccountInfo] Account disconnected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
23:38:07 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
23:45:34 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
23:54:11 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
