00:05:23 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
01:22:58 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
01:23:38 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
01:24:00 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
01:24:15 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
01:24:24 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
01:24:31 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
01:49:50 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
01:50:00 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
17:52:22 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
17:53:39 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
18:29:13 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
18:29:18 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
19:08:59 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
19:09:09 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
19:09:14 [AccountInfo] Account connected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
19:10:40 [AccountInfo] Account disconnected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
19:10:51 [AccountInfo] Account connected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
19:10:57 [AccountInfo] Account disconnected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
19:11:09 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
19:11:16 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.195.208, GameServerCode: 1)
19:11:28 [AccountInfo] Account connected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
19:21:17 [AccountInfo] Account disconnected (Account: 2, IpAddress: 191.5.195.208, GameServerCode: 1)
